Années;Type de collectivité;Pourcentage;Indicateurs;Indicateurs de leffort budgétaire des conseils régionaux;Régions;Codes régions;Pays;Objectifs sur budget ventilé;Valeur
2011;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Guyane;R03;;Tous objectifs;0.0
2011;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Guyane;R03;;Tous objectifs;0.0
2011;Collectivités territoriales;1;Budget R&T;;Martinique;R02;;Equipement de laboratoires (%);0.0
2011;Collectivités territoriales;0;Budget R&T;;Martinique;R02;;Transferts de technologie;1.4
2011;Collectivités territoriales;0;Budget R&T;;Martinique;R02;;Réseaux haut débit;0.01
2011;Collectivités territoriales;1;Budget R&T;;Martinique;R02;;Culture et information scientifique (%);18.23
2011;Collectivités territoriales;0;Budget R&T;;Martinique;R02;;Budget non ventilé;0.0
2011;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Martinique;R02;;Tous objectifs;0.15
2011;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part du budget de R&T des conseils régionaux dans les dépenses totales des col. Ter.(en %);Martinique;R02;;Tous objectifs;0.29
2011;Conseils régionaux;0;Budget R&T réalisé dans le cadre du CPER;;Martinique;R02;;Tous objectifs;0.0
2011;Collectivités territoriales;0;Budget R&T;;Mayotte;R06;;Tous objectifs;0.71
2011;Collectivités territoriales;1;Budget R&T;;Mayotte;R06;;Equipement de laboratoires (%);0.0
2011;Collectivités territoriales;1;Budget R&T;;Mayotte;R06;;Aides aux chercheurs (%);46.48
2011;Collectivités territoriales;1;Budget R&T;;Mayotte;R06;;Transferts de technologie (%);0.0
2011;Collectivités territoriales;0;Budget R&T;;Mayotte;R06;;Budget non ventilé;0.0
2011;Conseils régionaux;0;Budget R&T;;Mayotte;R06;;Tous objectifs;0.71
2011;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Mayotte;R06;;Tous objectifs;0.0
2011;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Mayotte;R06;;Tous objectifs;0.0
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Mayotte;R06;;Tous objectifs;0.0
2011;Collectivités territoriales;0;Budget R&T;;La Réunion;R04;;Opérations immobilières;3.02
2011;Conseils départementaux;0;Budget R&T;;La Réunion;R04;;Tous objectifs;0.05
2011;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;La Réunion;R04;;Tous objectifs;0.02
2011;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;La Réunion;R04;;Tous objectifs;0.0
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;La Réunion;R04;;Tous objectifs;0.02
2011;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;La Réunion;R04;;Tous objectifs;0.0
2011;Collectivités territoriales;1;Budget R&T;;Polynésie française;A41;;Réseaux haut débit (%);0.0
2011;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part du budget de R&T des conseils régionaux dans les dépenses totales des col. Ter.(en %);Polynésie française;A41;;Tous objectifs;0.0
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Polynésie française;A41;;Tous objectifs;0.0
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Polynésie française;A41;;Tous objectifs;0.0
2011;Collectivités territoriales;1;Budget R&T;;Nouvelle-Calédonie;A40;;Aides aux chercheurs (%);4.96
